"state","temp1992","temp1993","temp1994","temp1995","temp1996","temp1997","temp1998","temp1999","temp2000","temp2001","temp2002","temp2003","temp2004","temp2005","temp2006","temp2007","temp2008","temp2009","temp2010","temp2011"
"AK",43.9586649919493,46.5280948348695,41.9629358739038,41.2716147541008,40.1129793246892,42.1991913675105,41.6201005587752,38.8986213806741,41.9371061567714,40.1845257321124,43.6365727602297,43.028267888536,44.1800308537292,43.3196948208053,40.5284574187395,41.1802442780345,38.5089552109359,40.7182806434389,41.4155521087347,40.5936852971755
"AL",73.1923628773847,73.6237370580115,73.8913275318472,74.1906855883294,73.4668054263643,73.4260911610407,76.1754164663287,76.3521777588371,75.8808958816729,74.4010740228161,74.7721599042352,74.0181884084645,74.0988644381155,74.9155814842367,76.5498218682702,77.2097269482208,74.7997780787277,73.5531637268516,74.5273549367185,75.6877807031921
"AR",71.1807289109679,70.6198822042076,71.4883548654851,72.3848512628976,70.9091467248405,70.8957084677022,74.0242932651202,74.4600111437397,72.4866870173794,72.4665006051285,71.4929353862767,71.6061690339135,71.652617244011,73.2021561821651,73.7935905611326,72.7518150570972,70.7583376283919,70.2328105889992,72.803109347844,72.8452062126008
"AZ",72.4638173492648,73.4801192607251,74.4659181740805,74.5531200307259,75.433005482158,73.7197240220688,72.3816963546647,74.6703601340602,75.0335715795331,74.0267834937583,75.1242364882426,75.0720603605845,73.1705219525607,73.8189126157925,74.5478784332295,74.4092166785899,73.668105538753,74.471240074363,72.8051546599793,73.0448828821555
"CA",71.4023773884696,69.3215851207405,69.8784855932365,70.1653276371047,70.7293445991832,70.7844658121096,67.4969362025049,69.7561409528348,69.966003326183,70.717243570178,70.8892267247169,70.7209991476603,70.3252018797441,69.6914952814517,69.9805773020992,70.5629808188129,70.601825362428,70.3638915238565,68.1898811398117,68.4595901701755
"CO",55.8044593423809,53.7527621773046,57.5333108583142,55.8797241182611,56.5935813308188,55.4129939943783,56.7511204956428,57.5281729603589,57.8810574757653,57.8813775678021,57.6080971542703,58.3518314480256,56.594862768371,57.5700448176112,57.4343396528605,57.1953343178135,55.7721527162625,55.6074697804394,56.8869873163659,56.2839089888194
"CT",57.7309989511413,59.5396079760002,59.8969573492731,56.7510571935532,58.23841726276,58.4521847967265,61.6339427909371,62.1532745837191,57.965665676011,60.7551093176272,61.3735438422437,57.6308227113899,58.3706534984441,59.8103860369233,60.6854436924712,59.6417234382057,57.9680596009991,57.7048952286629,61.2585747895116,60.4174476009889
"DE",62.802131147541,64.1892602739726,64.4369863013698,64.1843418636159,62.2330931955985,63.6339726027397,66.3495890410959,65.3756164383562,62.9503889512688,65.0249863013698,65.6373150684931,62.2138630136986,63.8701585515048,64.877324091543,66.2830136986302,65.2222402528977,65.3192750954413,64.4453204840797,65.7917138005207,66.1828670781274
"FL",81.8988686261436,81.7840664150798,82.46142770646,81.7336896957883,81.1995003555714,82.0271465588292,82.9849341652273,82.2673282522488,82.066313040779,81.9349325768472,82.2578739505855,81.7177891678117,81.5961576870562,81.3682295195373,82.7244257137714,82.8154566939548,81.8600660069126,81.9418415376496,80.40353926408,83.255121255239
"GA",73.6945218984964,74.907329762279,74.6284804564803,74.9769706656961,74.2943204284408,74.3040315967966,76.7351998890883,76.2733913914535,75.2496000046051,75.4067025535327,75.4827631683278,74.0063483198141,74.9582487473197,74.5926121097396,76.3846937664338,76.3652986152418,74.9066020571252,73.7232685723448,74.3501740843365,76.4145085652104
"HI",78.5872753809294,78.1312716695565,78.8164515018064,79.4690813976378,79.2128913171702,78.6275429870865,77.7611822271265,77.393458924434,78.0321142260602,78.1735309891193,78.2268946061724,78.8980949005576,78.6973794968467,78.7873847888844,78.0325536272735,77.9595323576338,77.5337393240754,77.2762982800796,77.7430152626513,77.8282926239122
"IA",57.9870347234854,55.1432415734169,58.5574409984847,57.5991969300843,55.4538625901572,57.4445138339258,60.4168053777551,60.4507695896036,59.4114780031434,59.4004063798814,60.0003786551681,59.1191961682184,59.0520248546843,60.5022732548939,60.9534209136922,59.3933939354175,56.3687812710724,56.8982170333444,58.6259411785589,59.0213378011995
"ID",58.392460504616,54.0753324563507,57.9192420087638,55.932544516936,55.9738740080709,56.1136720765658,56.7529529594242,57.0812333105871,56.747523714366,57.7785586423501,56.2023644205087,58.3534373485605,56.7926554422813,56.7275467730259,57.5018277321471,58.284508950329,55.9383377457763,55.405952810095,55.4396180424452,55.0014506119024
"IL",61.3841638459616,60.0687809702558,62.2329089803969,61.6938352534405,60.0334605099918,60.3842460900421,64.4924384076626,64.0108838347411,62.0617433517417,63.5446307502827,63.4172892580495,62.2291469229863,62.5018925739129,64.3049171673174,63.9258196281164,63.59539840365,60.4618427779052,60.8845036843666,62.9241221253638,62.7723658423371
"IN",60.8625981655092,59.8233976323068,61.8849169951638,62.1331646906256,59.8493028975224,59.7640695432196,64.4229669267671,64.0057441542161,61.6435971197396,63.297597561032,62.9405725699163,60.4562435427251,61.746680858432,62.5575359733013,63.0252149208237,63.9961298517633,61.5893410773553,60.5760410047761,62.7029307284488,62.6163785895756
"KS",66.1286314310094,63.5592491980257,67.8228237562744,66.7409788156099,65.8942897771612,65.8848191196915,67.9495141884212,68.7803706258796,68.294205146379,68.4362488959548,68.1602711135978,67.919932213274,67.086026213516,68.2498102141603,70.2833621813633,66.821891167919,66.0411867895144,65.7280932065548,67.1420062831837,68.20434910463
"KY",66.3927442187513,66.7464318024909,67.4923022151948,67.4974896112857,65.6644710799889,65.9111774238526,69.3694150346133,70.1402390990257,67.1862982764966,68.4397323540635,67.8543610000129,66.0538649993022,67.4072288485066,68.2788951346156,68.3230045351432,69.7109424934056,67.7583741546722,66.254923229475,67.5503004642255,66.6261683278424
"LA",76.0632821605043,76.02929308971,76.4987656989496,77.793298409984,76.7944460469893,76.2929863357757,78.9059559670578,79.2161367151347,78.3302102830532,77.0933838623456,76.7964460565675,76.7831999446437,77.1789044674746,78.3077148805792,78.8753223223296,77.6390767353186,77.4451497393706,76.9254965073387,77.3841362406513,77.9683924322478
